,shadings_ygap,shadings_xgap,bifacials_ygap,bifacials_xgap,pvshadings_ygap,pvshadings_xgap,lat,lon
0,,0.040228807046207474,,0.02774695687794575,,0.9986657298298561,-0.267,36.1
1,,0.3777796656736014,,0.09767886037041038,,0.9998194836761367,-0.267,36.1
2,0.49213931592322385,0.544400771107514,0.1177843340344198,0.13346042572828495,0.9920533411839894,0.9991915165373487,-0.267,36.1
3,0.6643021152428135,0.6405827192008423,0.15524372887695104,0.15370649675925846,0.9968668522968883,0.9989202940521682,-0.267,36.1
4,0.7446820324360698,0.701205022347398,0.17283740500123243,0.16552899769747564,0.9998740024585109,1.0037139606208538,-0.267,36.1
5,0.7924812125971942,0.7434623586801937,0.18371579633246765,0.17454078705415652,0.9978920074623897,1.0002818281849213,-0.267,36.1
6,0.8232456824059212,0.7733103954600291,0.18843986455414719,0.18020045956766279,1.0061205081775888,0.9989676219872612,-0.267,36.1
7,0.8460366820068361,0.7971198028071276,0.19338322870907873,0.18360445159975974,1.0011811366658698,1.001101488775101,-0.267,36.1
8,0.8625453450806696,0.8170263903638074,0.19682853329095054,0.18636727893939667,0.9927457745200806,0.9979455022461683,-0.267,36.1
9,0.8754492268124889,0.8330255912791891,0.19834488656920968,0.18789639305856234,0.9938596198496642,0.999152124591372,-0.267,36.1
