,shadings_ygap,shadings_xgap,bifacials_ygap,bifacials_xgap,pvshadings_ygap,pvshadings_xgap,lat,lon
0,,0.06630174998617144,,0.035669326617398134,,0.9968923699761782,-0.267,36.1
1,,0.5012771959627027,,0.11922484390047225,,0.9990294641881635,-0.267,36.1
2,0.17145049263932438,0.6679561445172876,0.057007100396482435,0.15514945761727758,0.9969340156333499,1.0024625749084688,-0.267,36.1
3,0.44991630777192076,0.7462305057410207,0.11487626684410451,0.17353421194745475,1.001001040912858,1.0011292235942078,-0.267,36.1
4,0.5841924376789426,0.7951105027055964,0.14322973822585272,0.1846317878483306,0.999119054922439,1.0006226140032723,-0.267,36.1
5,0.6633682422378392,0.8271520816200023,0.159317441503284,0.19229288553685808,0.9997176141015577,0.9994039413888804,-0.267,36.1
6,0.7116267909118296,0.8502419196682245,0.169365872474974,0.1965029437695632,0.996441184309233,0.9993549311703802,-0.267,36.1
7,0.747421653821732,0.8716003589480791,0.17455673663220264,0.19952489208803428,0.9994518956088289,0.9993932579749605,-0.267,36.1
8,0.7726455232289967,0.8830255272792769,0.17812302879117017,0.20107327837233574,0.998142233404937,1.001791974685292,-0.267,36.1
9,0.7960990956355259,0.8915683224205864,0.18073992600976735,0.20244030270975244,0.9955513158153384,1.0030500666741942,-0.267,36.1
