,shadings_ygap,shadings_xgap,bifacials_ygap,bifacials_xgap,pvshadings_ygap,pvshadings_xgap,lat,lon
0,,0.46308090066187585,,0.11352228458759915,,1.0787829157569444,36.786,3.065
1,,0.6956644269445501,,0.14829064097994302,,1.0970783658996168,36.786,3.065
2,,0.780094531079896,,0.16505014434253107,,1.107702856014044,36.786,3.065
3,,0.8361759032239229,,0.17509014462169492,,1.1113302617871903,36.786,3.065
4,0.5554423473917597,0.8682576115172612,0.13117558770753449,0.18090902628609662,1.0960672604213109,1.1153755677294477,36.786,3.065
5,0.6459194043827103,0.8878452938277858,0.14610791706135726,0.18571044728945815,1.1062083394496864,1.1134020875090518,36.786,3.065
6,0.7008935394394273,0.9024297756257916,0.1565012035786624,0.18821145047521776,1.1091136408408317,1.115976445537536,36.786,3.065
7,0.7431165679591862,0.9141468928835117,0.16154639757888764,0.18997174440103506,1.1238865463332166,1.1184972816107228,36.786,3.065
8,0.7714719247112853,0.9216989291789062,0.16764108581234044,0.19209825671539962,1.1236616755406084,1.1187091102466058,36.786,3.065
9,0.7975918503437072,0.9272365961826317,0.17138275325159996,0.1925864464884617,1.1145931474653197,1.1189611021768395,36.786,3.065
