xgaps,fbifacials,fshadings
0,0.10051577760450896,0.3704525139798721
1,0.1465192919498662,0.6465013452510624
2,0.16756875313139602,0.7456080477271682
3,0.1785321649957714,0.8021828112774804
4,0.185811799230433,0.8347269897826121
5,0.19112816710662364,0.859523428271175
6,0.19442897786898342,0.8759749810149885
7,0.19541280794654572,0.8834980123268337
8,0.1984886023337368,0.8965597289554025
9,0.19924369164113226,0.9003661422456776
