,nMods_nRows,shadings_clearance,shadings_ygap,shadings_xgap,shadings_n,bifacials_clearance,bifacials_ygap,bifacials_xgap,bifacials_n,pvshadings_clearance,pvshadings_ygap,pvshadings_xgap,pvshadings_n
0,1,0.9144113806506471,0.7486844383071176,0.6411093816180145,0.958627820411453,0.0890162944790582,0.17851372606278446,0.16034350360482236,0.23155394696599935,0.9832221827796992,0.9275922889105618,0.9791140412275756,0.9818502669227325
1,6,0.8639701624639281,0.8317665585191366,0.8101407957414734,0.9041747706985775,0.20133443457386427,0.19648757528787986,0.19248131172432487,0.21518715912831304,0.9832493418578413,0.9785997540966745,0.9811941660464578,0.9846873382995748
2,11,0.895140360584366,0.8795607392290704,0.8733264675211921,0.9026801088894949,0.21211527189746182,0.20814630388817,0.2064380377815009,0.2138335571282112,0.981064383735779,0.9794095577379637,0.9814532401270765,0.9831518350179628
3,16,0.9019829555554266,0.9025801757190773,0.9024193627506572,0.9016680020275685,0.21379517925216351,0.21478077278873012,0.21280823204307428,0.21337131327553205,0.9811654034803075,0.9805793708102942,0.9845551613061464,0.9824333299751512
4,21,0.9046889734353728,0.9175541533240464,0.9221303234878818,0.9014251949108244,0.21362084480475688,0.21712415846639352,0.21795147784574304,0.21306529027890125,0.98105713111732,0.9836913401625746,0.9830857016868799,0.9841030198848336
5,26,0.9081001726386925,0.9280344190810854,0.9316116478634842,0.9015858601895597,0.21512717552619354,0.21936629169871855,0.22071003421723517,0.21289729416350725,0.9816743157616014,0.9832977735252526,0.9832329694013345,0.983621625356631
6,31,0.909281125732976,0.9359483603016456,0.938462028190796,0.9015884183858889,0.21458447546560205,0.22062228820264618,0.22308409446208505,0.21406412483623444,0.9808805206272381,0.9850228839892249,0.9810757347429963,0.9798570680327259
