x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.4238182,-0.6868549,0.0,0.0,groundplane,groundplane,2062778.0,2046638.0,0.9921755996078223
0.1357374,-0.3535216,0.0,0.0,groundplane,groundplane,2023269.0,2016264.0,0.996537780692267
0.6952929,-0.02018825,0.0,0.0,groundplane,groundplane,1950264.0,1979298.0,1.014887214748933
1.254848,0.3131451,0.0,0.0,groundplane,groundplane,2025955.0,2027429.0,1.0007275576206147
1.814404,0.6464784,0.0,0.0,groundplane,groundplane,2072520.0,2090531.0,1.0086903860958203
2.37396,0.9798117,0.0,0.0,groundplane,groundplane,2089947.0,2151568.0,1.0294844792573763
2.933515,1.313145,0.0,0.0,groundplane,groundplane,2102287.0,2117036.0,1.0070156924306644
3.493071,1.646478,0.0,0.0,groundplane,groundplane,2088444.0,2071693.0,0.9919791955197367
4.052626,1.979812,0.0,0.0,groundplane,groundplane,2062842.0,2061800.0,0.9994948711537313
4.612182,2.313145,0.0,0.0,groundplane,groundplane,2054436.0,2061375.0,1.0033775688298991
-0.3296364,-0.6868549,0.0,0.0,groundplane,groundplane,2064141.0,2050498.0,0.9933904704216474
0.2299192,-0.3535216,0.0,0.0,groundplane,groundplane,2012548.0,2008119.0,0.9977993066511709
0.7894747,-0.02018825,0.0,0.0,groundplane,groundplane,1941645.0,1971224.0,1.0152339892126347
1.34903,0.3131451,0.0,0.0,groundplane,groundplane,2032326.0,2024740.0,0.9962673306367841
1.908586,0.6464784,0.0,0.0,groundplane,groundplane,2069850.0,2092398.0,1.0108935425219734
2.468141,0.9798117,0.0,0.0,groundplane,groundplane,2087278.0,2151146.0,1.0305987026976768
3.027697,1.313145,0.0,0.0,groundplane,groundplane,2104265.0,2113297.0,1.0042922345786807
3.587253,1.646478,0.0,0.0,groundplane,groundplane,2086361.0,2071417.0,0.9928372889481556
4.146808,1.979812,0.0,0.0,groundplane,groundplane,2061383.0,2056124.0,0.9974487996663168
4.706364,2.313145,0.0,0.0,groundplane,groundplane,2055719.0,2058684.0,1.0014423172615312
-0.2354545,-0.6868549,0.0,0.0,groundplane,groundplane,2065504.0,2054359.0,0.9946042220230006
