0 0
0 0
0 0
0 0
0 0
0 0
0 0
61 29
199 73
335 112
465 130
571 133
592 136
550 126
446 108
286 87
116 47
18 10
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
64 30
216 74
391 102
529 118
611 126
626 127
574 122
459 110
297 88
123 48
20 11
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
60 38
204 93
382 121
520 140
602 145
623 137
571 132
459 115
298 90
124 49
20 11
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
66 30
217 73
391 101
528 117
609 125
625 126
573 121
459 110
298 89
125 49
21 12
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
65 30
216 73
388 105
526 122
610 127
627 126
576 121
462 110
301 89
127 49
22 12
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
50 40
169 116
310 191
431 238
483 274
478 285
474 234
409 179
274 127
122 58
22 13
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
53 37
179 101
335 159
467 200
555 206
581 193
532 180
426 150
276 116
116 65
21 14
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
64 32
218 76
397 103
539 119
623 128
638 134
587 130
475 115
311 94
132 55
23 14
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
35 32
129 106
286 173
453 195
568 184
613 158
579 132
465 114
304 93
134 53
24 14
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
65 30
218 74
394 102
536 118
621 127
639 129
588 125
475 114
314 94
138 54
26 14
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
65 30
218 74
395 102
537 118
622 127
642 128
593 124
481 112
319 92
141 54
27 14
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
64 31
215 77
384 115
509 158
573 196
587 205
550 187
459 148
310 109
133 65
24 17
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
64 33
211 85
388 117
535 129
624 133
646 131
599 125
488 114
327 93
147 55
29 15
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
65 31
216 79
394 109
539 127
624 141
638 151
568 175
440 177
290 137
130 76
26 19
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
